ID,Symbol,Name,Sector,Industry,Full Time Employees,CEO,Address,Description
27,FLT,Fleetcor Technologies Inc,Technology,Software - Infrastructure,7580,Ronald F. Clarke,"5445 Triangle Parkway
Suite 400
Peachtree Corners, GA 30092
United States","FleetCor Technologies, Inc. provides commercial payment solutions in North America, Latin America, Europe, and Australasia. The company offers fuel payment solutions to businesses and government entities that operate vehicle fleets, as well as to oil and leasing companies, and fuel marketers. Its fuel payment products are in the form of plastic cards, electronic RFID tags, and paper vouchers to purchase fuel, oil, vehicle maintenance supplies and services, and building supplies. The company also provides lodging payment solutions to businesses that have employees who travel overnight for work purposes. In addition, it offers electronic toll and parking payments products to businesses and consumers in the form of RFID tags affixed to vehicles' windshields; and prepaid paper vouchers as a means of payment on toll roads. Further, the company provides corporate payments solutions with vertical-specific applications, which enable its customers to manage and control electronic payments across their enterprise, optimize corporate spending, and offer innovative services that enhance employee efficiency and customer loyalty. Its primary corporate payments products include virtual cards, purchasing cards, travel and entertainment cards, payroll cards, and cross-border payment facilitation. Additionally, it offers gift card product management and processing services, such as card design, production and packaging, delivery and fulfillment, card and account management, transaction processing, promotion development and management, Website design and hosting, program analytics, and card distribution channel management. The company also provides vehicle maintenance, employee benefit payment, and long haul transportation-related services. The company markets its products and services through field sales, telesales, direct marketing, point-of-sale marketing, and the Internet. FleetCor Technologies, Inc. was founded in 1986 and is headquartered in Peachtree Corners, Georgia."
28,FTNT,Fortinet Inc,Technology,Software - Application,6590,Ken Xie,"899 Kifer Road
Sunnyvale, CA 94086
United States","Fortinet, Inc. provides broad, integrated, and automated cybersecurity solutions worldwide. It offers FortiGate hardware and software licenses that provide various security and networking functions, including firewall, intrusion prevention, anti-malware, virtual private network, application control, Web filtering, anti-spam, and wide area network acceleration; FortiSandbox technology that delivers proactive detection and mitigation services; and FortiSIEM family of software solutions, which offers a cloud-ready security information and event management solutions. The company also provides FortiSwitch product family that offers secure switching solutions for connecting customers end devices, such as computers and laptops, as well as an expanding field of Internet of things devices; FortiAnalyzer product family, which provides centralized network logging, analyzing, and reporting solutions; and FortiManager product family that provides central and scalable management solution for its FortiGate products, including software updates, configuration, policy settings, and security updates, as well as FortiAP product family, which provides secure wireless networking solutions. In addition, it provides security subscription, technical support, professional, and training services. The company sells its security solutions to channel partners; and directly to end-customers, including small and medium-sized businesses, large enterprises, and government organizations in a range of industries consisting of telecommunications, technology, government, financial services, education, retail, manufacturing, and healthcare. Fortinet, Inc. provides its products and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company was founded in 2000 and is headquartered in Sunnyvale, California."
29,GLW,Corning Inc,Technology,Electronic Components,51500,Wendell P. Weeks,"One Riverfront Plaza
Corning, NY 14831
United States","Corning Incorporated engages in display technologies, optical communications, environmental technologies, specialty materials, and life sciences businesses worldwide. The company's Display Technologies segment manufactures glass substrates for organic light-emitting diodes and liquid crystal displays used in televisions, notebook computers, and flat panel desktop monitors. Its Optical Communications segment manufactures optical fibers and cables; and hardware and equipment products, including cable assemblies, fiber optic hardware and connectors, optical components and couplers, closures, network interface devices, and other accessories for various carrier network applications. This segment also offers subscriber demarcation, connection and protection devices, various digital subscriber line passive solutions, and outside plant enclosures; and coaxial RF interconnects for the cable television industry and microwave applications. The company's Environmental Technologies segment manufactures ceramic substrates and filter products for emissions control in mobile, gasoline, and diesel applications. Its Specialty Materials segment manufactures products that provide material formulations for glass, glass ceramics, and fluoride crystals. The company's Life Sciences segment develops, manufactures, and supplies laboratory products comprising consumables, such as plastic vessels, specialty surfaces, cell culture media, and serum, as well as general labware and equipment for cell culture research, bioprocessing, genomics, drug discovery, microbiology, and chemistry. This segment sells its products under the Corning, Falcon, Pyrex, and Axygen brands. Corning Incorporated has a strategic collaboration with Intel Corporation to accelerate the availability of 5G in buildings. The company was formerly known as Corning Glass Works and changed its name to Corning Incorporated in April 1989. Corning Incorporated was founded in 1851 and is headquartered in Corning, New York."
30,GPN,Global Payments Inc,Industrials, Business Services,11000,Jeffrey S. Sloan J.D.,"3550 Lenox Road
Atlanta, GA 30326
United States","Global Payments Inc. provides payment technology and software solutions for card, electronic, check, and digital-based payments. The company operates in three segments: North America, Europe, and Asia-Pacific. It offers authorization services, settlement and funding services, customer support and help-desk functions, chargeback resolution, terminal rental, sales and deployment, payment security services, consolidated billing and statements, and online reporting services. The company also provides an array of enterprise software solutions that streamline business operations of its customers in various vertical markets; and value-added services, such as analytic and engagement tools, as well as payroll services. In addition, it offers credit and debit card transaction processing services for various international card brands, including American Express, Discover Card, JCB, MasterCard, UnionPay International, and Visa; and non-traditional payment methods, as well as certain domestic debit networks, such as Interac in Canada. Further, the company provides e-commerce and omnichannel solutions; and gaming solutions to licensed gaming operators. It serves customers in various industries comprising education, restaurant, event management, hospitality, retail, healthcare, convenience stores and petroleum, professional services, automotive, and lodging. The company markets its products and services through direct sales force, trade associations, agent and enterprise software providers, referral arrangements with value-added resellers, and independent sales organizations in 32 countries of North America, Europe, the Asia-Pacific region, and Brazil. Global Payments Inc. has a strategic partnership with Desjardins Group to acquire its existing merchant acquiring business, which includes a portfolio of approximately 40,000 merchants. The company was founded in 1967 and is headquartered in Atlanta, Georgia."
31,HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,60000,Antonio Fabio Neri,"6280 America Center Drive
San Jose, CA 95002
United States","Hewlett Packard Enterprise Company operates as a technology company. The company operates through four segments: Hybrid IT, Intelligent Edge, Financial Services, and Corporate Investments. The Hybrid IT segment provides industry standard servers for multi-workload computing; mission-critical servers; converged storage solutions, including all-flash arrays and hybrid storage solutions; and traditional storage solutions comprising tape, storage networking, and disk products, such as HPE MSA and HPE XP. It also offers data center networking products, such as top-of-rack switches, core switches, and open networking switches; and operational services, advisory and professional services, and communications and media solutions. The Intelligent Edge segment provides solutions for mobility and Internet of Things, as well as enterprise networking and security solutions for businesses campus and branch environments under the Aruba brand. This segment also offers wired and wireless local area network products, such as Wi-Fi access points, switches, and routers; and software products, including network management, network access control, analytics and assurance, and location services software. The Financial Services segment offers various flexible investment solutions, which comprise leasing, financing, IT consumption, and utility programs and asset management services for customers to enable the creation of unique technology deployment models and acquire complete IT solutions. The Corporate Investments segment is involved in Hewlett Packard labs and various business incubation activities. The company serves small and medium-sized businesses and large enterprises. It has strategic alliance with ABB Ltd. Hewlett Packard Enterprise Company was founded in 1939 and is headquartered in San Jose, California."
32,HPQ,HP Inc,Technology,Computer Systems,55000,Enrique J. Lores,"1501 Page Mill Road
Palo Alto, CA 94304
United States","HP Inc. provides personal computing and other access devices, imaging and printing products, and related technologies, solutions, and services in the United States and internationally. The company operates through three segments: Personal Systems, Printing, and Corporate Investments. The Personal Systems segment offers commercial and consumer desktop and notebook personal computers, workstations, thin clients, commercial mobility devices, retail point-of-sale systems, displays and other related accessories, software, support, and services. The Printing segment provides consumer and commercial printer hardware, supplies, solutions, and services, as well as scanning devices. The Corporate Investments segment includes HP Labs and business incubation projects. It serves individual consumers, small- and medium-sized businesses, and large enterprises, including customers in the government, health, and education sectors. HP Inc. has a strategic alliance with Siemens AG; and collaboration with SmileDirectClub. The company was formerly known as Hewlett-Packard Company and changed its name to HP Inc. in October 2015. HP Inc. was founded in 1939 and is headquartered in Palo Alto, California."
33,IBM,International Business Machines,Technology,Information Technology Services,350600,Virginia M. Rometty,"1 New Orchard Road
Armonk, NY 10504
United States","International Business Machines Corporation operates as an integrated technology and services company worldwide. Its Cognitive Solutions segment offers a portfolio of enterprise artificial intelligence platforms, such as analytics and data management platforms, cloud data services, talent management, and industry solutions primarily under the Watson Platform, Watson Health, and Watson Internet of Things names. This segment also offers transaction processing software for use in banking, airlines, and retail industries. The company's Global Business Services segment offers business consulting services; delivers system integration, application management, maintenance, and support services for packaged software applications; and finance, procurement, talent and engagement, and industry-specific business process outsourcing services. Its Technology Services & Cloud Platforms segment provides project, managed, outsourcing, and cloud-delivered services for enterprise IT infrastructure environments; technical, and software and solution support services; and integration software solutions. The company's Systems segment offers servers for businesses, cloud service providers, and scientific computing organizations; data storage products and solutions; and z/OS, an enterprise operating system. Its Global Financing segment provides lease, installment payment plans, and loan financing services; short-term working capital financing to suppliers, distributors, and resellers; and remanufacturing and remarketing services. The company serves financial services institutions, airlines, manufacturers, and consumer goods and retail companies. International Business Machines Corporation has a strategic partnership with Cloudera to develop joint go-to-market programs. The company was formerly known as Computing-Tabulating-Recording Co. and changed its name to International Business Machines Corporation in 1924. The company was incorporated in 1911 and is headquartered in Armonk, New York."
34,INTC,Intel Corporation,Technology,Semiconductors,107400,Robert H. Swan,"2200 Mission College Boulevard
Santa Clara, CA 95054
United States","Intel Corporation offers computing, networking, data storage, and communication solutions worldwide. It operates through Client Computing Group, Data Center Group, Internet of Things Group, Non-Volatile Memory Solutions Group, Programmable Solutions Group, and All Other segments. The company offers microprocessors, and system-on-chip and multichip packaging products. It also provides NAND flash memory products primarily used in solid-state drives; and programmable semiconductors and related products for communications, data center, industrial, and military markets. In addition, the company develops computer vision and machine learning, data analysis, localization, and mapping for advanced driver assistance systems and autonomous driving. Its platforms are used in notebooks, systems, and desktops; cloud, enterprise, and communication infrastructure market segments; and retail, automotive, industrial, and various other embedded applications. It serves original equipment manufacturers, original design manufacturers, industrial and communication equipment manufacturers, and cloud service providers. Intel Corporation has a collaboration with Telefonaktiebolaget LM Ericsson (publ) to develop software defined infrastructure for network functions virtualization, distributed cloud, and 5G applications; and Baidu, Inc. to develop nervana neural network processor for training, as well as a strategic collaboration with Corning Incorporated to accelerate the availability of 5G in buildings. The company was founded in 1968 and is based in Santa Clara, California."
35,INTU,Intuit Inc,Technology,Software - Application,9400,Sasan K. Goodarzi,"2700 Coast Avenue
Mountain View, CA 94043
United States","Intuit Inc. provides financial management and compliance products and services for consumers, small businesses, self-employed, and accounting professionals in the United States, Canada, and internationally. The company operates in three segments: Small Business & Self-Employed, Consumer, and Strategic Partner. The Small Business & Self-Employed segment provides QuickBooks online services and desktop software solutions comprising QuickBooks Enterprise, a hosted solution; QuickBooks Online Advanced, an online enterprise solution; QuickBooks Self-Employed solution; and QuickBooks Online Accountant and QuickBooks Accountant Desktop Plus solutions; payroll solutions, such as online payroll processing, direct deposit of employee paychecks, payroll reports, electronic payment of federal and state payroll taxes, and electronic filing of federal and state payroll tax forms. This segment also offers payment-processing solutions, including credit and debit cards, and ACH payment services; and financial supplies and financing for small businesses. Its Consumer segment provides TurboTax income tax preparation products and services; and personal finance. The company's Strategic Partner segment offers Lacerte, ProSeries, and ProFile desktop tax-preparation software products; and ProConnect Tax Online tax products, electronic tax filing service, and bank products and related services. It sells products and services through various sales and distribution channels, including multi-channel shop-and-buy experiences, Websites and call centers, mobile application stores, and retail and other channels. Intuit Inc. was founded in 1983 and is headquartered in Mountain View, California."
36,IPGP,Ipg Photonics Corp,Technology,Semiconductor Equipment & Materials,6220,Valentin P. Gapontsev,"50 Old Webster Road
Oxford, MA 01540
United States","IPG Photonics Corporation develops and manufactures a range of high-performance fiber lasers, fiber amplifiers, and diode lasers used in various applications primarily in materials processing worldwide. The company's laser products include low, medium, and high power lasers; fiber pigtailed packaged diodes and fiber coupled direct diode laser systems; high-energy pulsed lasers, multi-wavelength and tunable lasers, and single-polarization and single-frequency lasers; laser diode chips and packaged laser diodes; and high power optical fiber delivery cables, fiber couplers, beam switches, chillers, scanners, and other accessories. It also provides erbium-doped fiber and Raman amplifiers, and integrated communications systems, which are deployed in broadband networks, such as fiber to the home, fiber to the curb, passive optical networks, and dense wavelength division multiplexing (DWDM) networks; ytterbium and thulium specialty fiber amplifiers and broadband light sources; and single-frequency, linearly polarized, and polarization-maintaining versions of its amplifier products. In addition, the company offers interconnect, coarse wavelength division multiplexing, DWDM, and tunable-based pluggable interfaces to serve optical transmission needs; integrated laser systems; 2D compact flat sheet cutter systems and multi-axis systems; welding seam stepper and picker, a fiber laser welding tool; and specialized fiber laser systems for material processing applications. Its lasers and amplifiers are also used in materials processing, advanced communications, and medical applications. The company markets its products to original equipment manufacturers, system integrators, and end users through direct sales force, as well as through agreements with independent sales representatives and distributors. IPG Photonics Corporation was founded in 1990 and is headquartered in Oxford, Massachusetts."
37,IT,Gartner Inc,Technology,Information Technology Services,15173,Eugene A. Hall,"56 Top Gallant Road
PO Box 10212
Stamford, CT 06902
United States","Gartner, Inc. operates as a research and advisory company. It operates through three segments: Research, Conferences, and Consulting. The Research segment offers objective insights and advice on the priorities of various leaders in a range of functional areas of the enterprise through research and other reports, briefings, proprietary tools, access to analysts, peer networking services, and membership programs that enable clients to make better decisions; and practice and talent management research insights in various business functions, such as human resources, sales, legal, and finance. This segment delivers its research, primarily through a subscription-based digital media service. The Conferences segment offers business professionals in an organization the opportunity to learn, share, and network various events. The Consulting segment offers customized solutions to client needs through on-site and day-to-day support, as well as proprietary tools for measuring and improving IT performance. This segment provides solutions to CIOs, IT executives, and other professionals who are responsible for IT applications, enterprise architecture, go-to-market strategies, infrastructure and operations, program and portfolio management, and sourcing and vendor relationships; consulting services to professionals; and actionable solutions for IT cost optimization, technology modernization, and IT sourcing optimization initiatives. The company has operations in the United States, Canada, Europe, the Middle East, Africa, and internationally. Gartner, Inc. was founded in 1979 and is headquartered in Stamford, Connecticut."
38,JKHY,Jack Henry & Associates Inc,Industrials,Business Services,6402,David B. Foss,"663 West Highway 60
PO Box 807
Monett, MO 65708
United States","Jack Henry & Associates, Inc. provides technology solutions and payment processing services primarily for financial services organizations in the United States. The company offers information and transaction processing solutions for banks ranging from community to multi-billion dollar asset institutions under the Jack Henry Banking brand; core data processing solutions for various credit unions under the Symitar brand; and specialized financial performance, imaging and payments processing, information security and risk management, retail delivery, and online and mobile solutions to financial institutions and corporate entities under the ProfitStars brand. It also provides a suite of integrated applications required to process deposit, loan, and general ledger transactions, as well as to maintain centralized customer/member information; and complementary products and services that enable core bank and credit union clients to respond to evolving customer/member demands. The company's Jack Henry Banking business brand offers SilverLake, a robust IBM Power System primarily designed for commercial-focused banks; CIF 20/20, a system for the community bank market; and Core Director, a Windows-based client/server system. Its Symitar business brand provides Episys, a robust IBM Power System primarily designed for credit unions; and CruiseNet, a Windows-based client/server system designed primarily for credit unions. In addition, the company offers electronic payment solutions; purchases and resells hardware systems, including servers, workstations, scanners, and other devices; and provides implementation, training, and support services. Jack Henry & Associates, Inc. was founded in 1976 and is headquartered in Monett, Missouri."
39,JNPR,Juniper Networks Inc,Technology,Communication Equipment,"9,283",Rami Rahim,"1133 Innovation Way
Sunnyvale, CA 94089
United States","Juniper Networks, Inc. designs, develops, and sells network products and services worldwide. The company offers various routing products, such as ACX series universal access routers to deploy new high-bandwidth services; MX series Ethernet routers that functions as a universal edge platform; PTX series packet transport routers; cloud customer premises equipment; and NorthStar controllers. It also provides switching products, including EX series Ethernet switches to address the access, aggregation, and core layer switching requirements of micro branch, branch office, and campus and data center environments; and QFX series of core, spine, and top-of-rack data center switches. In addition, the company offers security products comprising SRX series services gateways for the data centers; Branch SRX family provides integrated firewall capabilities; vSRX Virtual Firewall that delivers various features of physical firewalls; and Sky Advanced Threat Prevention, a cloud-based service for static and dynamic analysis. Further, it offers Junos OS, a network operating system; Contrail networking and cloud platform, which provides an open-source and standards-based platform for SDN and NFV; and AppFormix, an optimization and management software platform for public, private, and hybrid clouds. Additionally, the company provides technical support, maintenance, and professional services, as well as education and training programs. It sells its products through direct sales, distributors, value-added resellers, and original equipment manufacturer partners to end-users in the cloud, telecom/cable, and strategic enterprise markets. Juniper Networks, Inc. has a collaboration agreement with Telef—nica, S.A. to support 5G, IoT, and online services. The company was founded in 1996 and is headquartered in Sunnyvale, California."
40,KEYS,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,13300,Ronald S. Nersesian,"1400 Fountaingrove Parkway
Santa Rosa, CA 95403
United States","Keysight Technologies, Inc. provides electronic design and test solutions to commercial communications, networking, aerospace, defense and government, automotive, energy, semiconductor, and electronic industries in the Americas and the Asia Pacific. Its Communications Solutions Group segment provides radio frequency and microwave test instruments, and electronic design automation software tools; oscilloscopes, logic and serial protocol analyzers, logic-signal sources, arbitrary waveform generators, and bit error rate testers; optical modulation analyzers, component analyzers, power meters, and optical laser source solutions, as well as optical amplifier, filter, and other passive component solutions; and related software solutions. The company's Electronic Industrial Solutions Group segment offers design and design verification tools; and digital multi-meters, function generators, waveform synthesizers, counters, data acquisition products, audio analyzers, LCR Meters, thermal imaging solutions, low-cost USB modular units, precision source measurement units, ultra-high precision device current analyzers, test executive software platforms, and a range of power supplies. This segment also offers printed-circuit-board-assembly testers and IC parametric testers; and material analysis products. Its Services Solutions Group segment provides repair, calibration, and consulting services; and remarkets used Keysight equipment, as well as asset management solutions. The company also offers start-up assistance, instrument productivity, and application services; and customization, consulting, application, and instrument calibration and repair services. It sells its products through direct sales force, distributors, resellers, and manufacturer's representatives. The company has collaboration agreements with Telia Finland and Qualcomm Technologies Inc. The company was incorporated in 2013 and is headquartered in Santa Rosa, California."
41,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,10020,Richard P. Wallace,"One Technology Drive
Milpitas, CA 95035
United States","KLA Corporation designs, manufactures, and markets process control and yield management solutions for the semiconductor and related nanoelectronics industries worldwide. The company offers chip and wafer manufacturing products, including defect inspection and review systems, metrology solutions, in situ process monitoring products, computational lithography software, and data analytics systems for chip manufacturers to manage yield throughout the semiconductor fabrication process. It also provides reticle manufacturing products, such as reticle inspection, metrology, and data analytics systems for mask shops; and packaging manufacturing products comprising standalone and cluster inspection and metrology systems for various applications in the field of semiconductor packaging. In addition, the company offers compound semiconductor, power device, light emitting diode, and microelectromechanical system manufacturing products for the display market; data storage media/head manufacturing products; general purpose/lab applications; and previous-generation KLA systems. Further, it provides wafer processing solutions; printed circuit boards, and display and inspection components; products for the deposition of thin film coating of materials on crystalline silicon photovoltaic wafers; and other services. The company offers its products and services for use by various bare wafer, integrated circuit, reticle, and hard disk drive manufacturers. The company was formerly known as KLA-Tencor Corporation and changed its name to KLA Corporation in July 2019. KLA Corporation was founded in 1975 and is headquartered in Milpitas, California."
42,LDOS,Leidos Holdings Inc,Technology,Information Technology Services,33000,Roger A. Krone,"11951 Freedom Drive
Reston, VA 20190
United States","Leidos Holdings, Inc. provides services and solutions in the defense, intelligence, civil, and health markets in the United States and internationally. It operates through three segments: Defense Solutions, Civil, and Health. The Defense Solutions segment offers national security solutions and systems for air, land, sea, space, and cyberspace for the U.S. Intelligence Community, Department of Defense, military services, the U.S. Department of Homeland Security, and government agencies of U.S. allies abroad, as well as other federal, civilian, and commercial customers in the national security industry. Its solutions include technology, intelligence systems, command and control, data analytics, logistics, and cybersecurity solutions, as well as intelligence analysis and operations support services to critical missions. The Civil segment provides systems integration services to Air Navigation Service providers, including the Federal Aviation Administration, Transportation Security Administration, and airport operators; and vehicle and cargo inspection system, which enables the scanning of vehicles and cargo that produces an image using a low radiation dose. It also offers information technology (IT) solutions in cloud computing, mobility, application modernization, DevOps, data center, network modernization, asset management, help desk operations, and digital workplace enablement; federal environment and infrastructure; and logistics services. The Health segment offers solutions to federal and commercial customers responsible for health and well-being of people worldwide, including complex systems integration, managed health services, enterprise IT transformation, and life sciences services. The company was founded in 1969 and is headquartered in Reston, Virginia."
43,LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,10700,Timothy M. Archer,"4650 Cushing Parkway
Fremont, CA 94538
United States","Lam Research Corporation designs, manufactures, markets, refurbishes, and services semiconductor processing equipment used in the fabrication of integrated circuits worldwide. The company offers ALTUS systems to deposit conformal films for tungsten metallization applications; SABRE electrochemical deposition product for copper damascene manufacturing; SOLA ultraviolet thermal processing products for film treatment; SPEED gapfill high-density plasma chemical vapor deposition (CVD) products; Striker single-wafer atomic layer deposition (ALD) products; and VECTOR plasma-enhanced CVD ALD products. It also provides Flex for dielectric etch applications; Kiyo for conductor etch applications; Syndion for through-silicon via etch applications; and Versys metal products for metal etch processes. In addition, the company offers Coronus bevel clean products to enhance die yield; Da Vinci, DV-Prime, EOS, and SP to address a range of wafer cleaning appplications; and Metryx mass metrology systems for high precision in-line mass measurement in semiconductor wafer manufacturing. The company was founded in 1980 and is headquartered in Fremont, California."
44,MA,Mastercard Inc,Financial Services,Credit Services,14800,Ajaypal S. Banga,"2000 Purchase Street
Purchase, NY 10577
United States","Mastercard Incorporated, a technology company, provides transaction processing and other payment-related products and services in the United States and internationally. It facilitates the processing of payment transactions, including authorization, clearing, and settlement, as well as delivers related products and services. The company offers integrated products and services for account holders, merchants, financial institutions, businesses, governments, and other organizations, such as programs that enable issuers to provide consumers with credits to defer payments; payment products and solutions that allow its customers to access funds in deposit and other accounts; prepaid payment programs and management services; and commercial payment products and solutions. It also provides value-added products and services comprising safety and security products, loyalty and reward programs, information and analytics services, consulting services, and issuer and acquirer processing services. The company offers payment solutions and services under the MasterCard, Maestro, and Cirrus brands. Mastercard Incorporated has strategic partnerships with Network International to develop electronic payments in Africa and the Middle East; and R3 to develop and pilot a new blockchain-enabled cross-border payments solution, as well as a strategic alliance with Finexio. The company was founded in 1966 and is headquartered in Purchase, New York."
45,MCHP,Microchip Technology,Technology,Semiconductors,18286,Stephen Sanghi,"2355 West Chandler Boulevard
Chandler, AZ 85224
United States","Microchip Technology Incorporated develops, manufactures, and sells semiconductor products for various embedded control applications in the Americas, Europe, and Asia. The company offers general purpose and specialized 8-bit, 16-bit, and 32-bit microcontrollers; 32-bit microprocessors; and microcontrollers for automotive, industrial, computing, communication, lighting, power supplies, motor control, human machine interface, security, and wired and wireless connectivity applications. It also provides development tools that enable system designers to program microcontroller products for specific applications; field-programmable gate array (FPGA) products; and analog, power, interface, mixed signal, and timing products comprising power management, linear, mixed-signal, high-voltage, thermal management, discrete diodes and metal oxide semiconductor field effect transistors (MOSFETS), radio frequency (RF), drivers, safety, security, timing, USB, Ethernet, wireless, and other interface products. In addition, the company offers memory products consisting of serial electrically erasable programmable read-only memory, serial flash memories, parallel flash memories, serial static random access memories, and serial electrically erasable random access memories for the production of very small footprint devices; and licenses its SuperFlash embedded flash and Smartbits one time programmable NVM technologies to foundries, integrated device manufacturers, and design partners for use in the manufacture of microcontroller products, gate array, RF, analog, and neuromorphic compute products that require embedded non-volatile memory, as well as provides engineering services. Further, it provides wafer foundry and assembly and test subcontracting manufacturing services; and aerospace and timing systems products, application specific integrated circuits, and complex programmable logic devices. Microchip Technology Incorporated was founded in 1989 and is headquartered in Chandler, Arizona."
46,MSFT,Microsoft Corp,Technology,Software - Infrastructure,144000,Satya Nadella,"One Microsoft Way
Redmond, WA 98052
United States","Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. The company's Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, and Skype for Business, as well as related Client Access Licenses (CAL); and Skype, Outlook.com, and OneDrive. It also provides LinkedIn that includes Talent and marketing solutions, and subscriptions; and Dynamics 365, a set of cloud-based and on-premises business solutions for small and medium businesses, large organizations, and divisions of enterprises. The company's Intelligent Cloud segment licenses SQL and Windows Servers, Visual Studio, System Center, and related CALs; GitHub that provides a collaboration platform and code hosting service for developers; and Azure, a cloud platform. It also provides support services and Microsoft consulting services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification to developers and IT professionals on various Microsoft products. The company's More Personal Computing segment offers Windows OEM licensing and other non-volume licensing of the Windows operating system; Windows Commercial comprising volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; Windows Internet of Things; and MSN advertising. It also provides Microsoft Surface, PC accessories, and other intelligent devices; Gaming, including Xbox hardware, and Xbox software and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. The company sells its products through distributors and resellers; and directly through digital marketplaces, online stores, and retail stores. It has strategic partnerships with Humana Inc. and Nokia. The company was founded in 1975 and is headquartered in Redmond, Washington."
47,MSI,Motorola Solutions,Technology,Communication Equipment,16000,Gregory Q. Brown,"500 West Monroe Street
Suite 4400
Chicago, IL 60661
United States","Motorola Solutions, Inc. provides mission-critical communication solutions in the United States, the United Kingdom, Canada, and internationally. The company operates in two segments, Products and Systems Integration, and Services and Software. The Products and Systems Integration segment offers a portfolio of infrastructure, devices, accessories, and video solutions, as well as the implementation, optimization, and integration of networks, devices, software, and applications for government, public safety and first-responder agencies, municipalities, and commercial and industrial customers. Its products include two-way portable and vehicle-mounted radios, accessories, software features, and upgrades; video cameras; radio network core and central processing software, base stations, consoles, and repeaters; and video analytics, network video management hardware and software, and access control solutions. The Services segment provides repair, technical support, and hardware maintenance services. This segment also offers monitoring, software updates, and cybersecurity services; and public safety and enterprise command center software suite, unified communications applications, and video software solutions. It serves for government, public safety, and commercial communication networks. The company was formerly known as Motorola, Inc. and changed its name to Motorola Solutions, Inc. in January 2011. Motorola Solutions, Inc. was founded in 1928 and is headquartered in Chicago, Illinois."
48,MU,Micron Technology,Technology,Semiconductors,34100,Sanjay Mehrotra,"8000 S FEDERAL WAY
BOISE ID 83716 USA","Micron Technology, Inc. engages in the provision of innovative memory and storage solutions. It operates through the following segments: Compute and Networking Business Unit (CNBU); Mobile Business Unit (MBU); Storage Business Unit (SBU); and Embedded Business Unit (EBU). The Compute and Networking Business Unit segment includes memory products sold into cloud server, enterprise, client, graphics, and networking markets. The Mobile Business Unit segment offers memory products sold into smartphone, and other mobile-device markets. The Storage Business Unit segment comprises of SSDs and component-level solutions sold into enterprise and cloud, client, and consumer solid-state drive (SSD) markets, other discrete storage products sold in component and wafer forms to the removable storage markets, and sales of 3D XPoint memory. The Embedded Business Unit segment consists of memory and storage products sold into automotive, industrial, and consumer markets. The company was founded by Ward D. Parkinson, Joseph L. Parkinson, Dennis Wilson, and Doug Pitman in October 1978 and is headquartered in Boise, ID."
49,MXIM,Maxim Integrated Products Inc,Technology,Semiconductors,7131,Tun Doluca,"160 Rio Robles
San Jose, CA 95134
United States","Maxim Integrated Products, Inc. designs, develops, manufactures, and markets a range of linear and mixed-signal integrated circuits in the United States, China, the rest of Asia, Europe, and internationally. The company also provides a range of high-frequency process technologies and capabilities for use in custom designs. It serves automotive, communications and data center, computing, consumer, and industrial markets. The company markets its products through a direct-sales and applications organization, as well as through its own and other unaffiliated distribution channels. Maxim Integrated Products, Inc. was founded in 1983 and is headquartered in San Jose, California."
50,NTAP,NetApp Inc,Technology,Data Storage,10500,George Kurian,"1395 Crossman Avenue
Sunnyvale, CA 94089
United States","NetApp, Inc. provides software, systems, and services to manage and share data on-premises, and private and public clouds worldwide. The company offers cloud data services, including NetApp Cloud Volumes Service for AWS, NetApp Cloud Volumes ONTAP, NetApp Cloud Sync, NetApp Cloud Secure, NetApp Cloud Tiering, NetApp SaaS Backup, NetApp Kubernetes Service, and NetApp Cloud Insights. It also provides cloud infrastructure solutions, such as FlexPod, a portfolio of pre-validated designs and integration; NetApp HCI for public cloud consumption experience; and NetApp StorageGRID, a software-defined object-based storage solution. In addition, the company offers storage systems and software, including all-flash arrays that support data management; hybrid arrays to deploy the speed of flash storage; NetApp ONTAP storage operating system; NetApp ONTAP Select, which offers robust enterprise storage services; NetApp MAX Data; NetApp FlexArray storage virtualization software; NetApp OnCommand API Services; NetApp Active IQ software; NetApp data availability services; NetApp SnapCenter backup management software; NetApp SnapMirror data replication software; NetApp MetroCluster business continuity softwar; NetApp SnapLock data compliance software; NetApp SANtricity storage operating system; and NetApp Element operating system. Further, it provides software maintenance, hardware maintenance, and other services, including professional services, global support solutions, and customer education and training. It serves the energy, financial services, government, high technology, Internet, life sciences, healthcare services, manufacturing, media, entertainment, animation, video postproduction, and telecommunications through a direct sales force and an ecosystem of partners. NetApp, Inc. was founded in 1992 and is headquartered in Sunnyvale, California."
